"commit","subject","status","files"
"89dd311eea390128ba84a603620012c3bc68f2e6","check if x or y is smaller than and throw an exception (#9984)","needs-review","src/main/java/com/simibubi/create/compat/computercraft/implementation/peripherals/DisplayLinkPeripheral.java"
"f3a90f1a32694359d3816176da90689e26e7bd32","Increase epsilon for rotation propagator speed comparison (#10013)","needs-review","src/main/java/com/simibubi/create/content/kinetics/RotationPropagator.java"
"65f7d2d815d2280d59eaa41abef26eca8fdd17cc","To migrate, or to not migrate","needs-review","src/main/java/com/simibubi/create/foundation/mixin/ItemStackMixin.java"
"180b6c4b019fb483df8f926a5015383cdc051966","Match \#create:seats tag directly (#9907)","needs-review","src/main/java/com/simibubi/create/content/contraptions/Contraption.java"
"03f827991e3802926a652ff269600e499aa269d3","Fix fluid crashes by ensuring cache is only called when valid (#10016)","needs-review","src/main/java/com/simibubi/create/content/fluids/FlowSource.java;src/main/java/com/simibubi/create/foundation/ICapabilityProvider.java"
"021647267e90d0bbe121b532e19dd7a53c8c1a50","Farmer's Delight: Do not harvest vanilla mushrooms on rich soil (#9940)","needs-review","build.gradle;gradle.properties;src/main/java/com/simibubi/create/compat/Mods.java;src/main/java/com/simibubi/create/compat/farmersdelight/FarmersDelightCompat.java;src/main/java/com/simibubi/create/content/contraptions/actors/harvester/HarvesterMovementBehaviour.java"
"22824a1804c58db6908d2d87147d1323df258b57","Fix #9931 (#9942)","needs-review","src/main/java/com/simibubi/create/content/fluids/drain/ItemDrainRenderer.java;src/main/java/com/simibubi/create/content/kinetics/belt/BeltRenderer.java;src/main/java/com/simibubi/create/content/logistics/depot/DepotRenderer.java;src/main/java/com/simibubi/create/content/logistics/tableCloth/TableClothRenderer.java"
"9c7316cbbac79b35105412a3b87792ee7a1a113d","Fix items disappearing during belt transfers when chunks unload (#9954)","needs-review","src/main/java/com/simibubi/create/content/kinetics/belt/transport/BeltInventory.java"
"0a891bc0b6d9e387d76181570077e5a376b543b6","Fix clipboard check in ItemStackMixin","needs-review","src/main/java/com/simibubi/create/foundation/mixin/ItemStackMixin.java"
"2031369eff96338f6f0af54e7f4c9415e332e6a2","Fix ItemStackMixin causing clipboards to break","needs-review","src/main/java/com/simibubi/create/foundation/mixin/ItemStackMixin.java"
"6517d2672f09585f2a3434f5bf19c118c96994e8","Add Plough Blacklist and Whitelist tags (#9346)","needs-review","src/generated/resources/.cache/82992cbf8f2794d83ac94034835eac0acd7915b9;src/generated/resources/.cache/eaed56ca9d9781c7626be345dd9f2c9a1fad638e;src/generated/resources/assets/create/lang/en_ud.json;src/generated/resources/assets/create/lang/en_us.json;src/generated/resources/data/c/tags/item/doughs.json;src/generated/resources/data/c/tags/item/doughs/wheat.json;src/generated/resources/data/c/tags/item/foods/dough.json;src/generated/resources/data/c/tags/item/foods/dough/wheat.json;src/generated/resources/data/create/advancement/recipes/misc/crafting/curiosities/cake.json;src/generated/resources/data/create/create/potato_projectile/type/pufferfish.json;src/generated/resources/data/create/recipe/crafting/curiosities/cake.json;src/generated/resources/data/create/tags/block/plough_blacklist.json;src/generated/resources/data/create/tags/block/plough_whitelist.json;src/main/java/com/simibubi/create/AllTags.java;src/main/java/com/simibubi/create/content/contraptions/actors/plough/PloughMovementBehaviour.java;src/main/java/com/simibubi/create/infrastructure/data/CreateRegistrateTags.java"
"213052dca24cb2ed6b8dc02b30f72fe7e6b673d3","Fix belt processing items escape during chunk unload (#10017)","needs-review","src/main/java/com/simibubi/create/content/kinetics/belt/transport/BeltInventory.java"
"1fd4358e7a4784aff5beb4385f2849c9521ea929","Fix outdated Environmental Compat (#8471)","needs-review","src/generated/resources/.cache/af1b4964b4b67530aeb67585e9573385e8cab38a;src/generated/resources/.cache/b256105d8411632b0d585496ea8944a751a08034;src/generated/resources/data/create/recipe/milling/compat/environmental/blue_delphinium.json;src/generated/resources/data/create/recipe/milling/compat/environmental/dianthus.json;src/generated/resources/data/create/recipe/milling/compat/environmental/tasselflower.json;src/generated/resources/data/create/recipe/milling/compat/environmental/white_lotus_flower.json;src/generated/resources/data/create/recipe/pressing/compat/environmental/dirt_path.json;src/generated/resources/data/create/recipe/pressing/path.json;src/generated/resources/data/create/recipe/pressing/path_from_grass.json;src/generated/resources/data/create/tags/item/upright_on_belt.json;src/main/java/com/simibubi/create/foundation/data/recipe/CreateMillingRecipeGen.java;src/main/java/com/simibubi/create/foundation/data/recipe/CreatePressingRecipeGen.java;src/main/java/com/simibubi/create/infrastructure/data/CreateRegistrateTags.java"
